Source,Destination,Special Service,1-5 kg,5-10 kg,10-20 kg,20-50 kg,50+ kg
Karachi,Lahore,Standard,3,4,5,6,7
Karachi,Lahore,Sentimental,2.4,3.2,4,4.8,5.6
Karachi,Lahore,Business,1.5,2,2.5,3,3.5
Lahore,Karachi,Standard,3,4,5,6,7
Lahore,Karachi,Sentimental,2.4,3.2,4,4.8,5.6
Lahore,Karachi,Business,1.5,2,2.5,3,3.5
Karachi,Islamabad,Standard,3,4,5,6,7
Karachi,Islamabad,Sentimental,2.4,3.2,4,4.8,5.6
Karachi,Islamabad,Business,1.5,2,2.5,3,3.5
Islamabad,Karachi,Standard,3,4,5,6,7
Islamabad,Karachi,Sentimental,2.4,3.2,4,4.8,5.6
Islamabad,Karachi,Business,1.5,2,2.5,3,3.5
Karachi,Peshawar,Standard,4,5,6,7,8
Karachi,Peshawar,Sentimental,3.2,4,4.8,5.6,6.4
Karachi,Peshawar,Business,2,2.5,3,3.5,4
Peshawar,Karachi,Standard,4,5,6,7,8
Peshawar,Karachi,Sentimental,3.2,4,4.8,5.6,6.4
Peshawar,Karachi,Business,2,2.5,3,3.5,4
Karachi,Quetta,Standard,5,6,7,8,9
Karachi,Quetta,Sentimental,4,4.8,5.6,6.4,7.2
Karachi,Quetta,Business,2.5,3,3.5,4,4.5
Quetta,Karachi,Standard,5,6,7,8,9
Quetta,Karachi,Sentimental,4,4.8,5.6,6.4,7.2
Quetta,Karachi,Business,2.5,3,3.5,4,4.5
Lahore,Islamabad,Standard,2,3,4,5,6
Lahore,Islamabad,Sentimental,1.6,2.4,3.2,4,4.8
Lahore,Islamabad,Business,1,1.5,2,2.5,3
Islamabad,Lahore,Standard,2,3,4,5,6
Islamabad,Lahore,Sentimental,1.6,2.4,3.2,4,4.8
Islamabad,Lahore,Business,1,1.5,2,2.5,3
Lahore,Peshawar,Standard,3,4,5,6,7
Lahore,Peshawar,Sentimental,2.4,3.2,4,4.8,5.6
Lahore,Peshawar,Business,1.5,2,2.5,3,3.5
Peshawar,Lahore,Standard,3,4,5,6,7
Peshawar,Lahore,Sentimental,2.4,3.2,4,4.8,5.6
Peshawar,Lahore,Business,1.5,2,2.5,3,3.5
Lahore,Quetta,Standard,4,5,6,7,8
Lahore,Quetta,Sentimental,3.2,4,4.8,5.6,6.4
Lahore,Quetta,Business,2,2.5,3,3.5,4
Quetta,Lahore,Standard,4,5,6,7,8
Quetta,Lahore,Sentimental,3.2,4,4.8,5.6,6.4
Quetta,Lahore,Business,2,2.5,3,3.5,4
Islamabad,Peshawar,Standard,1,2,3,4,5
Islamabad,Peshawar,Sentimental,0.8,1.6,2.4,3.2,4
Islamabad,Peshawar,Business,0.5,1,1.5,2,2.5
Peshawar,Islamabad,Standard,1,2,3,4,5
Peshawar,Islamabad,Sentimental,0.8,1.6,2.4,3.2,4
Peshawar,Islamabad,Business,0.5,1,1.5,2,2.5
Islamabad,Quetta,Standard,3,4,5,6,7
Islamabad,Quetta,Sentimental,2.4,3.2,4,4.8,5.6
Islamabad,Quetta,Business,1.5,2,2.5,3,3.5
Quetta,Islamabad,Standard,3,4,5,6,7
Quetta,Islamabad,Sentimental,2.4,3.2,4,4.8,5.6
Quetta,Islamabad,Business,1.5,2,2.5,3,3.5
Peshawar,Quetta,Standard,2,3,4,5,6
Peshawar,Quetta,Sentimental,1.6,2.4,3.2,4,4.8
Peshawar,Quetta,Business,1,1.5,2,2.5,3
Quetta,Peshawar,Standard,2,3,4,5,6
Quetta,Peshawar,Sentimental,1.6,2.4,3.2,4,4.8
Quetta,Peshawar,Business,1,1.5,2,2.5,3
